Maachisi,Bastard
Maachiwooni,Scholar
Maafakhi,Liar
Maaka,Year
Maali,Riches/ Assets
Maalimu,Teacher
Maamala,shut up
Maamba,Seashell
Maambate,stick to him
Maambo,Affairs
Maame,Mother
Maamili,Regular customer/Client
Maampaka,Kitten
Maamuli,Administration
Maana,Child
Maandha,bravanese Bread
Maandiko,Writings
Maangi,cooked grain
Maankale,Sesame seed cake
Maanyi,Grass
Maanzo,Beginning
Maapa,Armpint
Maarabu,Arab person
Maarsha,Gear
Maashe,Blind
Maaskara,Mask
Maato,Eyes
Maatozi,Tear
Maayi,Water
Maazi,Blood
Maazi ya Aada,Period
Mabda'i,Principle
Mabigano,Fighting
Maduuri,Jungle
Mafta,Oil
Maftaamansara,Sesame oil
Maftaatala,Fatty Tissue
Maftaazeydi,Olive oil
Magaadi,Soda
Magoli,uneven
Mahari,Bride price
Mahati,thanks
Mahkama,Court
Mahrajaani,Carnival
Makala,Charcoal
Makhabri,Cemetery
Makhaziina,Storehouse
Makiindhi,Belly dance
Makoondhe,Boxing
Makosa,Mistake
Mal'uuni,mischief-Maker
Malaakhi,Tribal Chief
Malaalo,Sleeping accommodation
Malayka,Angel
Maliza,Finish
Malmalaata,Jam
Maluungo,Body
Malyuuni,Million
Mamala,keep silence
Mambaamba,slim
Manaamke,Girl
Manashke na kuloloowa,Bride
Mandari,Picnic
Mandinamaamo,fuck off
Maneeno,nonesense
Manne,Urine
Mapatano,Agreement
Mapeema,Early
Mapula,Nasal mucus
Maqasi,scissor
Maqsuudi,content
Mara yiingine,Again
Maradi,Disease
Maradi ya Suukari,Diabetes
Marayiingine,Another time
Marjani,Coral
Markabu ya idura,Helicopter
Markabu ya kuuluka,Airplane
Markabu ya mayiini,Ship
Maroone,Brown
Marti,Guest
Mas-ala,Mystery
Masaafa,Distance
Masaajo,Sorghum
Mashakha,Troubles
Mashindhamano,Competition
Mashtaayta,Sesame
Mashuunghi,Hair
Masiiri,Jealous
Masila,Abscess
Maskiini/faqiiri,Poor
Masku,Night
Maskuukati,Midnight
Maslaha,Interset/Cconciliation
Masoomo,Education
Masruufu,Maintenanceliving expenses
Masso,The sharpeness of cutting edges.
Mataanga,Mourning
Mataaza,Porridge
Mate,Saliva
Matele,Joke
Matezo,Games
Mathali,Example
Matotope,Morass/mud
Matte,Spit
Mattottoope,Mud
Matuundha,Fruit
Matuuri,fat
Matuzi,Stool
Mawe,Stones
Mawele,Breast
Mawiingu,cloud
Mayiimbi,waves
Mayleli,Trilling
Maymaayi,wet
Mayooshi,Smoke
Mayti,Dead body
Mazaydi,Advancement
